8/27/2022,Southampton,Manchester United,0-1,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8/27/2022,Chelsea,Leicester City,2-1,47,63,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8/27/2022,Brighton,Leeds United,1-0,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8/27/2022,Manchester City,Crystal Palace,4-2,4,21,53,62,70,81,NULL,NULL,NULL,NULL
8/27/2022,Liverpool,Bournemouth,9-0,3,6,28,31,45,46,62,80,85,NULL
8/27/2022,Brentford,Everton,1-1,24,84,NULL,NULLNULL,NULL,NULL,NULL,NULL,NULL,NULL
8/27/2022,Arsenal,Fulham,2-1,56,64,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8/28/2022,Wolverhampton,Newcastle United,1-1,38,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8/28/2022,Aston Villa,West Ham,0-1,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8/28/2022,Forest,Tottenham Hotspurs,0-2,5,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
